"","Account_status","Duration","Credit_history","Purpose","Amount","Savings","Employment","Installment_rate","Guarantors","Resident_since","Property","Age","Other_plans","Housing","Num_credits","Job","People_maintenance","Phone","Foreign","BAD","Female"
"268","no checking account",24,"existing credits paid back duly till now","radio / television",1533,"< 100 DM","< 1 year",4,"none",3,"car or other",38,"stores","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"269","< 0 DM",14,"existing credits paid back duly till now","car (new)",8978,"< 100 DM",">= 7 years",1,"none",4,"building society savings agreement / life insurance",45,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","no","BAD","Female"
"270","no checking account",24,"existing credits paid back duly till now","radio / television",999,"unknown / no savings account",">= 7 years",4,"none",2,"car or other",25,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"271","no checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown / no savings account","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",32,"none","A152",1,"skilled employee / official",1,"none","no","GOOD","Female"
"272","no checking account",12,"critical account / other credits existing (not at this bank)","furniture / equipment",1402,"500 <= ... < 1000 DM","4  <= ... < 7 years",3,"none",4,"car or other",37,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"273","0 < ... <  200 DM",48,"all credits at this bank paid back duly","car (new)",12169,"unknown / no savings account","unemployed",4,"co-applicant",4,"unknown / no property",36,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"274","0 < ... <  200 DM",48,"existing credits paid back duly till now","radio / television",3060,"< 100 DM","4  <= ... < 7 years",4,"none",4,"real estate",28,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Female"
"275","< 0 DM",30,"existing credits paid back duly till now","repairs",11998,"< 100 DM","< 1 year",1,"none",1,"unknown / no property",34,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Female"
"276","no checking account",9,"existing credits paid back duly till now","radio / television",2697,"< 100 DM","1  <= ... < 4 years",1,"none",2,"real estate",32,"none","A152",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"277","no checking account",18,"critical account / other credits existing (not at this bank)","radio / television",2404,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",26,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"278","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",1262,"unknown / no savings account",">= 7 years",2,"none",4,"building society savings agreement / life insurance",49,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Female"
"279","no checking account",6,"existing credits paid back duly till now","furniture / equipment",4611,"< 100 DM","< 1 year",1,"none",4,"building society savings agreement / life insurance",32,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"280","no checking account",24,"existing credits paid back duly till now","radio / television",1901,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",4,"car or other",29,"none","A151",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"281","no checking account",15,"critical account / other credits existing (not at this bank)","car (used)",3368,">= 1000 DM",">= 7 years",3,"none",4,"unknown / no property",23,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"282","no checking account",12,"existing credits paid back duly till now","furniture / equipment",1574,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",50,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"283",">= 200 DM",18,"all credits at this bank paid back duly","radio / television",1445,"unknown / no savings account","4  <= ... < 7 years",4,"none",4,"car or other",49,"bank","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"284","no checking account",15,"critical account / other credits existing (not at this bank)","furniture / equipment",1520,"unknown / no savings account",">= 7 years",4,"none",4,"building society savings agreement / life insurance",63,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"285","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","car (new)",3878,"100 <= ... <  500 DM","< 1 year",4,"none",2,"car or other",37,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"286","< 0 DM",47,"existing credits paid back duly till now","car (new)",10722,"< 100 DM","< 1 year",1,"none",1,"real estate",35,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"287","< 0 DM",48,"existing credits paid back duly till now","car (used)",4788,"< 100 DM","4  <= ... < 7 years",4,"none",3,"building society savings agreement / life insurance",26,"none","A152",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"288","0 < ... <  200 DM",48,"delay in paying off in the past","others",7582,"100 <= ... <  500 DM","unemployed",2,"none",4,"unknown / no property",31,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"289","0 < ... <  200 DM",12,"existing credits paid back duly till now","radio / television",1092,"< 100 DM","1  <= ... < 4 years",4,"guarantor",4,"real estate",49,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"290","< 0 DM",24,"delay in paying off in the past","radio / television",1024,"< 100 DM","< 1 year",4,"none",4,"real estate",48,"stores","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"291","no checking account",12,"existing credits paid back duly till now","business",1076,"< 100 DM","1  <= ... < 4 years",2,"none",2,"real estate",26,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","no","GOOD","Female"
"292","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (used)",9398,"< 100 DM","< 1 year",1,"none",4,"car or other",28,"none","A151",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"293","< 0 DM",24,"critical account / other credits existing (not at this bank)","car (used)",6419,"< 100 DM",">= 7 years",2,"none",4,"unknown / no property",44,"none","A153",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","GOOD","Male"
"294",">= 200 DM",42,"critical account / other credits existing (not at this bank)","car (used)",4796,"< 100 DM",">= 7 years",4,"none",4,"unknown / no property",56,"none","A153",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"295","no checking account",48,"critical account / other credits existing (not at this bank)","business",7629,"unknown / no savings account",">= 7 years",4,"none",2,"car or other",46,"bank","A152",2,"management / self-employed / highly qualified employee / officer",2,"none","yes","GOOD","Female"
"296","0 < ... <  200 DM",48,"existing credits paid back duly till now","furniture / equipment",9960,"< 100 DM","< 1 year",1,"none",2,"car or other",26,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"297","no checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown / no savings account","< 1 year",1,"none",4,"car or other",20,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"298","no checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown / no savings account",">= 7 years",4,"co-applicant",2,"building society savings agreement / life insurance",45,"none","A152",1,"unskilled - resident",1,"none","no","GOOD","Female"
"299","no checking account",18,"existing credits paid back duly till now","furniture / equipment",2515,"< 100 DM","1  <= ... < 4 years",3,"none",4,"real estate",43,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"300","0 < ... <  200 DM",21,"critical account / other credits existing (not at this bank)","furniture / equipment",2745,">= 1000 DM","4  <= ... < 7 years",3,"none",2,"car or other",32,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"301","no checking account",6,"existing credits paid back duly till now","car (new)",672,"< 100 DM","unemployed",1,"none",4,"real estate",54,"none","A152",1,"unemployed / unskilled  - non-resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"302","0 < ... <  200 DM",36,"no credits taken / all credits paid back duly","radio / television",3804,"< 100 DM","1  <= ... < 4 years",4,"none",1,"car or other",42,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Male"
"303",">= 200 DM",24,"critical account / other credits existing (not at this bank)","car (new)",1344,"unknown / no savings account","4  <= ... < 7 years",4,"none",2,"real estate",37,"bank","A152",2,"unskilled - resident",2,"none","yes","BAD","Female"
"304","< 0 DM",10,"critical account / other credits existing (not at this bank)","car (new)",1038,"< 100 DM","4  <= ... < 7 years",4,"co-applicant",3,"building society savings agreement / life insurance",49,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"305","no checking account",48,"critical account / other credits existing (not at this bank)","car (new)",10127,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",2,"unknown / no property",44,"bank","A153",1,"skilled employee / official",1,"none","yes","BAD","Female"
"306","no checking account",6,"existing credits paid back duly till now","furniture / equipment",1543,">= 1000 DM","1  <= ... < 4 years",4,"none",2,"real estate",33,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"307","no checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown / no savings account","4  <= ... < 7 years",2,"none",4,"building society savings agreement / life insurance",24,"stores","A151",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"308","< 0 DM",12,"existing credits paid back duly till now","radio / television",727,"100 <= ... <  500 DM","< 1 year",4,"none",3,"unknown / no property",33,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BAD","Female"
"309","0 < ... <  200 DM",8,"existing credits paid back duly till now","furniture / equipment",1237,"< 100 DM","1  <= ... < 4 years",3,"none",4,"real estate",24,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Male"
"310","0 < ... <  200 DM",9,"existing credits paid back duly till now","car (new)",276,"< 100 DM","1  <= ... < 4 years",4,"none",4,"real estate",22,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"311","0 < ... <  200 DM",48,"existing credits paid back duly till now","others",5381,"unknown / no savings account","unemployed",3,"none",4,"unknown / no property",40,"bank","A153",1,"unemployed / unskilled  - non-resident",1,"yes, registered under the customers name","yes","GOOD","Female"
"312","no checking account",24,"existing credits paid back duly till now","furniture / equipment",5511,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",1,"car or other",25,"stores","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"313",">= 200 DM",24,"existing credits paid back duly till now","furniture / equipment",3749,"< 100 DM","< 1 year",2,"none",4,"car or other",26,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"314","0 < ... <  200 DM",12,"existing credits paid back duly till now","car (new)",685,"< 100 DM","4  <= ... < 7 years",2,"none",3,"car or other",25,"bank","A152",1,"unskilled - resident",1,"none","yes","BAD","Female"
"315",">= 200 DM",4,"existing credits paid back duly till now","car (new)",1494,"unknown / no savings account","< 1 year",1,"none",2,"real estate",29,"none","A152",1,"unskilled - resident",2,"none","no","GOOD","Female"
"316","< 0 DM",36,"all credits at this bank paid back duly","furniture / equipment",2746,"< 100 DM",">= 7 years",4,"none",4,"car or other",31,"bank","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"317","< 0 DM",12,"existing credits paid back duly till now","furniture / equipment",708,"< 100 DM","1  <= ... < 4 years",2,"guarantor",3,"building society savings agreement / life insurance",38,"none","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"318","0 < ... <  200 DM",24,"existing credits paid back duly till now","furniture / equipment",4351,"unknown / no savings account","1  <= ... < 4 years",1,"none",4,"building society savings agreement / life insurance",48,"none","A152",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GOOD","Male"
"319","no checking account",12,"critical account / other credits existing (not at this bank)","education",701,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",32,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"320","< 0 DM",15,"delay in paying off in the past","furniture / equipment",3643,"< 100 DM",">= 7 years",1,"none",4,"building society savings agreement / life insurance",27,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Male"
"321","0 < ... <  200 DM",30,"critical account / other credits existing (not at this bank)","car (new)",4249,"< 100 DM","unemployed",4,"none",2,"car or other",28,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"none","yes","BAD","Female"
"322","< 0 DM",24,"existing credits paid back duly till now","radio / television",1938,"< 100 DM","< 1 year",4,"none",3,"building society savings agreement / life insurance",32,"none","A152",1,"skilled employee / official",1,"none","yes","BAD","Female"
"323","< 0 DM",24,"existing credits paid back duly till now","car (used)",2910,"< 100 DM","4  <= ... < 7 years",2,"none",1,"unknown / no property",34,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"324","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",2659,">= 1000 DM","1  <= ... < 4 years",4,"none",2,"car or other",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"325","no checking account",18,"critical account / other credits existing (not at this bank)","car (new)",1028,"< 100 DM","1  <= ... < 4 years",4,"none",3,"real estate",36,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"326","< 0 DM",8,"critical account / other credits existing (not at this bank)","car (new)",3398,"< 100 DM","4  <= ... < 7 years",1,"none",4,"real estate",39,"none","A152",2,"unskilled - resident",1,"none","no","GOOD","Female"
"327","no checking account",12,"critical account / other credits existing (not at this bank)","furniture / equipment",5801,"unknown / no savings account",">= 7 years",2,"none",4,"building society savings agreement / life insurance",49,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"328","no checking account",24,"existing credits paid back duly till now","car (new)",1525,">= 1000 DM","4  <= ... < 7 years",4,"none",3,"car or other",34,"none","A152",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GOOD","Male"
"329",">= 200 DM",36,"existing credits paid back duly till now","radio / television",4473,"< 100 DM",">= 7 years",4,"none",2,"car or other",31,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"330","0 < ... <  200 DM",6,"existing credits paid back duly till now","radio / television",1068,"< 100 DM",">= 7 years",4,"none",4,"car or other",28,"none","A152",1,"skilled employee / official",2,"none","yes","GOOD","Female"
"331","< 0 DM",24,"critical account / other credits existing (not at this bank)","car (used)",6615,"< 100 DM","unemployed",2,"none",4,"unknown / no property",75,"none","A153",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"332","no checking account",18,"critical account / other credits existing (not at this bank)","education",1864,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",2,"real estate",30,"none","A152",2,"skilled employee / official",1,"none","yes","BAD","Male"
"333","0 < ... <  200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 <= ... <  500 DM","< 1 year",4,"none",2,"building society savings agreement / life insurance",24,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","BAD","Male"
"334","no checking account",48,"critical account / other credits existing (not at this bank)","car (used)",11590,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",4,"car or other",24,"bank","A151",2,"unskilled - resident",1,"none","yes","BAD","Male"
"335","< 0 DM",24,"no credits taken / all credits paid back duly","furniture / equipment",4110,"< 100 DM",">= 7 years",3,"none",4,"unknown / no property",23,"bank","A151",2,"skilled employee / official",2,"none","yes","BAD","Female"
"336","< 0 DM",6,"critical account / other credits existing (not at this bank)","furniture / equipment",3384,"< 100 DM","1  <= ... < 4 years",1,"none",4,"real estate",44,"none","A151",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"337","0 < ... <  200 DM",13,"existing credits paid back duly till now","radio / television",2101,"< 100 DM","< 1 year",2,"guarantor",4,"building society savings agreement / life insurance",23,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"338","< 0 DM",15,"existing credits paid back duly till now","domestic appliances",1275,"unknown / no savings account","1  <= ... < 4 years",4,"none",2,"car or other",24,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"339","< 0 DM",24,"existing credits paid back duly till now","furniture / equipment",4169,"< 100 DM","1  <= ... < 4 years",4,"none",4,"building society savings agreement / life insurance",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"340","0 < ... <  200 DM",10,"existing credits paid back duly till now","furniture / equipment",1521,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",31,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Female"
"341","0 < ... <  200 DM",24,"critical account / other credits existing (not at this bank)","education",5743,"< 100 DM","< 1 year",2,"none",4,"unknown / no property",24,"none","A153",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"342","< 0 DM",21,"existing credits paid back duly till now","furniture / equipment",3599,"< 100 DM","4  <= ... < 7 years",1,"none",4,"car or other",26,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"343","0 < ... <  200 DM",18,"existing credits paid back duly till now","radio / television",3213,"500 <= ... < 1000 DM","< 1 year",1,"none",3,"real estate",25,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"344","0 < ... <  200 DM",18,"existing credits paid back duly till now","business",4439,"< 100 DM",">= 7 years",1,"co-applicant",1,"real estate",33,"bank","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"345",">= 200 DM",10,"existing credits paid back duly till now","car (new)",3949,"< 100 DM","< 1 year",1,"guarantor",1,"building society savings agreement / life insurance",37,"none","A152",1,"unskilled - resident",2,"none","yes","GOOD","Female"
"346","no checking account",15,"critical account / other credits existing (not at this bank)","radio / television",1459,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",43,"none","A152",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"347","0 < ... <  200 DM",13,"critical account / other credits existing (not at this bank)","radio / television",882,"< 100 DM","< 1 year",4,"guarantor",4,"real estate",23,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"348","0 < ... <  200 DM",24,"existing credits paid back duly till now","radio / television",3758,"500 <= ... < 1000 DM","unemployed",1,"none",4,"unknown / no property",23,"none","A151",1,"unemployed / unskilled  - non-resident",1,"none","yes","GOOD","Male"
"349","no checking account",6,"delay in paying off in the past","business",1743,"100 <= ... <  500 DM","1  <= ... < 4 years",1,"none",2,"real estate",34,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"350","0 < ... <  200 DM",9,"critical account / other credits existing (not at this bank)","education",1136,">= 1000 DM",">= 7 years",4,"none",3,"unknown / no property",32,"none","A153",2,"skilled employee / official",2,"none","yes","BAD","Female"
"351","no checking account",9,"existing credits paid back duly till now","domestic appliances",1236,"< 100 DM","< 1 year",1,"none",4,"real estate",23,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"352","0 < ... <  200 DM",9,"existing credits paid back duly till now","furniture / equipment",959,"< 100 DM","1  <= ... < 4 years",1,"none",2,"car or other",29,"none","A152",1,"skilled employee / official",1,"none","no","BAD","Male"
"353","no checking account",18,"critical account / other credits existing (not at this bank)","car (used)",3229,"unknown / no savings account","unemployed",2,"none",4,"unknown / no property",38,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"354","< 0 DM",12,"no credits taken / all credits paid back duly","radio / television",6199,"< 100 DM","1  <= ... < 4 years",4,"none",2,"building society savings agreement / life insurance",28,"none","A151",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BAD","Female"
"355","no checking account",10,"existing credits paid back duly till now","education",727,"500 <= ... < 1000 DM",">= 7 years",4,"none",4,"unknown / no property",46,"none","A153",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"356","0 < ... <  200 DM",24,"existing credits paid back duly till now","car (new)",1246,"< 100 DM","< 1 year",4,"none",2,"real estate",23,"stores","A152",1,"unskilled - resident",1,"none","yes","BAD","Female"
"357","no checking account",12,"critical account / other credits existing (not at this bank)","radio / television",2331,"unknown / no savings account",">= 7 years",1,"co-applicant",4,"real estate",49,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"358","no checking account",36,"delay in paying off in the past","radio / television",4463,"< 100 DM","1  <= ... < 4 years",4,"none",2,"car or other",26,"none","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"359","no checking account",12,"existing credits paid back duly till now","radio / television",776,"< 100 DM","1  <= ... < 4 years",4,"none",2,"real estate",28,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"360","< 0 DM",30,"existing credits paid back duly till now","furniture / equipment",2406,"< 100 DM","4  <= ... < 7 years",4,"none",4,"real estate",23,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"361","0 < ... <  200 DM",18,"existing credits paid back duly till now","education",1239,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"unknown / no property",61,"none","A153",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"362",">= 200 DM",12,"existing credits paid back duly till now","radio / television",3399,"unknown / no savings account",">= 7 years",2,"none",3,"car or other",37,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"none","yes","GOOD","Female"
"363",">= 200 DM",12,"delay in paying off in the past","car (new)",2247,"< 100 DM","1  <= ... < 4 years",2,"none",2,"car or other",36,"stores","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"364","no checking account",6,"existing credits paid back duly till now","furniture / equipment",1766,"< 100 DM","1  <= ... < 4 years",1,"none",2,"building society savings agreement / life insurance",21,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"365","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",2473,"< 100 DM","unemployed",4,"none",1,"car or other",25,"none","A152",1,"unemployed / unskilled  - non-resident",1,"none","yes","BAD","Female"
"366","no checking account",12,"existing credits paid back duly till now","business",1542,"< 100 DM","4  <= ... < 7 years",2,"none",4,"car or other",36,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"367","no checking account",18,"critical account / other credits existing (not at this bank)","car (used)",3850,"< 100 DM","4  <= ... < 7 years",3,"none",1,"car or other",27,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"368","< 0 DM",18,"existing credits paid back duly till now","furniture / equipment",3650,"< 100 DM","< 1 year",1,"none",4,"car or other",22,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"369","< 0 DM",36,"existing credits paid back duly till now","furniture / equipment",3446,"< 100 DM",">= 7 years",4,"none",2,"car or other",42,"none","A152",1,"skilled employee / official",2,"none","yes","BAD","Female"
"370","0 < ... <  200 DM",18,"existing credits paid back duly till now","furniture / equipment",3001,"< 100 DM","4  <= ... < 7 years",2,"none",4,"real estate",40,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"371","no checking account",36,"existing credits paid back duly till now","car (new)",3079,"unknown / no savings account","1  <= ... < 4 years",4,"none",4,"real estate",36,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"372","no checking account",18,"critical account / other credits existing (not at this bank)","radio / television",6070,"< 100 DM",">= 7 years",3,"none",4,"car or other",33,"none","A152",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"373","no checking account",10,"critical account / other credits existing (not at this bank)","furniture / equipment",2146,"< 100 DM","< 1 year",1,"none",3,"real estate",23,"none","A151",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"374","no checking account",60,"critical account / other credits existing (not at this bank)","car (new)",13756,"unknown / no savings account",">= 7 years",2,"none",4,"unknown / no property",63,"bank","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"375","0 < ... <  200 DM",60,"all credits at this bank paid back duly","others",14782,"100 <= ... <  500 DM",">= 7 years",3,"none",4,"unknown / no property",60,"bank","A153",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Male"
"376","< 0 DM",48,"all credits at this bank paid back duly","business",7685,"< 100 DM","4  <= ... < 7 years",2,"guarantor",4,"car or other",37,"none","A151",1,"skilled employee / official",1,"none","yes","BAD","Male"
"377","no checking account",18,"delay in paying off in the past","radio / television",2320,"< 100 DM","unemployed",2,"none",3,"real estate",34,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Female"
"378","no checking account",7,"delay in paying off in the past","radio / television",846,"unknown / no savings account",">= 7 years",3,"none",4,"unknown / no property",36,"none","A153",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"379","0 < ... <  200 DM",36,"existing credits paid back duly till now","car (new)",14318,"< 100 DM",">= 7 years",4,"none",2,"unknown / no property",57,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Female"
"380","no checking account",6,"critical account / other credits existing (not at this bank)","car (new)",362,"100 <= ... <  500 DM","1  <= ... < 4 years",4,"none",4,"car or other",52,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Male"
"381","< 0 DM",20,"existing credits paid back duly till now","furniture / equipment",2212,"unknown / no savings account","4  <= ... < 7 years",4,"none",4,"car or other",39,"none","A152",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Female"
"382","0 < ... <  200 DM",18,"existing credits paid back duly till now","car (used)",12976,"< 100 DM","unemployed",3,"none",4,"unknown / no property",38,"none","A153",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","BAD","Male"
"383","no checking account",22,"existing credits paid back duly till now","car (new)",1283,"unknown / no savings account","4  <= ... < 7 years",4,"none",4,"building society savings agreement / life insurance",25,"none","A151",1,"skilled employee / official",1,"none","yes","GOOD","Male"
"384",">= 200 DM",12,"existing credits paid back duly till now","car (new)",1330,"< 100 DM","< 1 year",4,"none",1,"real estate",26,"none","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"385","no checking account",30,"delay in paying off in the past","business",4272,"100 <= ... <  500 DM","1  <= ... < 4 years",2,"none",2,"building society savings agreement / life insurance",26,"none","A152",2,"unskilled - resident",1,"none","yes","GOOD","Female"
"386","no checking account",18,"critical account / other credits existing (not at this bank)","radio / television",2238,"< 100 DM","1  <= ... < 4 years",2,"none",1,"car or other",25,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"387","no checking account",18,"existing credits paid back duly till now","radio / television",1126,"unknown / no savings account","< 1 year",4,"none",2,"real estate",21,"none","A151",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GOOD","Male"
"388","0 < ... <  200 DM",18,"critical account / other credits existing (not at this bank)","furniture / equipment",7374,"< 100 DM","unemployed",4,"none",4,"building society savings agreement / life insurance",40,"stores","A152",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"389","0 < ... <  200 DM",15,"critical account / other credits existing (not at this bank)","business",2326,"500 <= ... < 1000 DM","1  <= ... < 4 years",2,"none",4,"car or other",27,"bank","A152",1,"skilled employee / official",1,"none","yes","GOOD","Female"
"390","no checking account",9,"existing credits paid back duly till now","business",1449,"< 100 DM","4  <= ... < 7 years",3,"none",2,"car or other",27,"none","A152",2,"skilled employee / official",1,"none","yes","GOOD","Male"
"391","no checking account",18,"existing credits paid back duly till now","car (new)",1820,"< 100 DM","1  <= ... < 4 years",2,"none",2,"building society savings agreement / life insurance",30,"none","A152",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","yes","GOOD","Female"
"392","0 < ... <  200 DM",12,"existing credits paid back duly till now","furniture / equipment",983,">= 1000 DM","< 1 year",1,"none",4,"real estate",19,"none","A151",1,"unskilled - resident",1,"none","yes","GOOD","Male"
"393","< 0 DM",36,"existing credits paid back duly till now","car (new)",3249,"< 100 DM","4  <= ... < 7 years",2,"none",4,"unknown / no property",39,"bank","A153",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","yes","GOOD","Female"
